architecture,learning_rate,weight_decay,dropout,best_threshold,avg_val_f1,avg_val_auc,avg_val_acc,avg_val_prec,avg_val_rec,avg_val_kappa
32,0.001,0.0001,0.3,0.3,0.47071413753467173,0.7205859378800719,0.6955391425650976,0.3680195415959711,0.6559478723209138,0.281016817285618
32,0.001,0.0001,0.4,0.3,0.46309805954967337,0.7143412955910681,0.7126628320638896,0.38091928592743485,0.6038313438088826,0.2827306564910958
32,0.001,0.0001,0.5,0.3,0.4547090296677466,0.7032031489678319,0.6889537612962887,0.36188995417566583,0.6308856618539125,0.2624921395723819
32,0.001,0.0001,0.6,0.3,0.45678391636238863,0.7133255152478974,0.7015033389114433,0.3666439252243116,0.6123526379171194,0.2690978079327423
32,0.001,0.0001,0.7,0.3,0.45129369431192395,0.7050276689764003,0.7104927673754985,0.37081459643933584,0.5803045730036903,0.2678984879078423
32,0.001,1e-05,0.2,0.3,0.46514035146142046,0.7168010471387178,0.6986562183718787,0.3790778737300505,0.625988112200502,0.27965776261649883
32,0.001,1e-05,0.3,0.3,0.4766898485301816,0.7354004208642475,0.7045725880304887,0.37640886140567165,0.6541919916416106,0.2917839456191043
32,0.001,1e-05,0.4,0.3,0.4577895033190587,0.7270790917013963,0.7201739422928968,0.39322562586855864,0.5728595668940601,0.28317664898079753
32,0.001,1e-05,0.5,0.3,0.45220482729048805,0.7067840236819081,0.7083361546375319,0.37855904088207953,0.5817469398957731,0.2700886190995779
32,0.001,1e-05,0.6,0.3,0.4487650361982964,0.7050375748041222,0.6972767612919197,0.3614052313690934,0.6030930474179389,0.25887865930765164
32,0.001,1e-05,0.7,0.3,0.4451848445697659,0.7014553159172625,0.7045379557875223,0.36468031631234854,0.5769327724026088,0.25842157467837906
32,0.0001,0.01,0.2,0.3,0.4564456316790932,0.7121551632899791,0.6882443160009706,0.36002973742426414,0.6327448511564475,0.2629496457501387
32,0.0001,0.01,0.3,0.3,0.45575693276032325,0.7153414687855836,0.6882379453631092,0.3568668784858652,0.6349479915843887,0.26134424274513823
32,0.0001,0.01,0.4,0.3,0.4531718050930085,0.7097479037396173,0.6669158178532825,0.3434292742378419,0.671704049394355,0.24886222926444868
32,0.0001,0.01,0.5,0.3,0.44241107233692534,0.7088568814237133,0.6745167866257148,0.34398772845594505,0.6261891696562673,0.2405523718393975
32,0.0001,0.01,0.6,0.3,0.44940061256652725,0.707615495622553,0.6754063295854775,0.34724044065825266,0.6440220109620697,0.24873699191793447
32,0.0001,0.01,0.7,0.3,0.43375066637872794,0.6921874177954355,0.6483517754783948,0.32461188620525094,0.6570413856829639,0.21907645668210485
32,0.0001,0.001,0.2,0.3,0.45131280384220257,0.710286626803566,0.6772259005321175,0.35460029293404566,0.6436975420493065,0.25374218578069835
32,0.0001,0.001,0.3,0.3,0.4502665831782136,0.7096186056687017,0.7002200857707691,0.3646494502149324,0.5986811170809218,0.2620000665135195
32,0.0001,0.001,0.4,0.3,0.45031392434068945,0.7104336359496422,0.672872050880823,0.34472908865672625,0.6580427810568065,0.2488169501634537
32,0.0001,0.001,0.5,0.3,0.4457924111964308,0.7022803558679491,0.6703211192075775,0.34304985481794276,0.6455454621264344,0.24247155366305279
32,0.0001,0.001,0.6,0.3,0.4360602270146,0.6898559295285085,0.6653338586300414,0.3334555455496676,0.6347041270070067,0.22908929989043464
32,0.0001,0.001,0.7,0.3,0.4385535200574905,0.689796056012854,0.6519942267934076,0.3276470290439297,0.6662104350478513,0.22581761052577293
32,0.0001,0.0001,0.2,0.3,0.4563845310117232,0.7188956634321283,0.7063060748501213,0.3753741500306667,0.600411609759238,0.2729241927140368
32,0.0001,0.0001,0.3,0.3,0.4585836300445001,0.7067530052462854,0.6988752306944255,0.3670026840135675,0.6236565772777457,0.2704608025161471
32,0.0001,0.0001,0.4,0.3,0.4536143371753953,0.6804022317694167,0.6274263146173926,0.339119791723305,0.7290972644649613,0.24093408087878712
32,0.0001,0.0001,0.5,0.3,0.44051835862383076,0.6960370501984912,0.6770042327739285,0.34219352871560466,0.6224613149647614,0.2394132816470233
32,0.0001,0.0001,0.6,0.3,0.45169258575697385,0.7104138362585879,0.6774714189856492,0.34903300921422414,0.6496499465052483,0.2524314053690303
32,0.0001,0.0001,0.7,0.3,0.4375621692724819,0.6965112871811788,0.6638093200501245,0.33518357750131417,0.6364330110995784,0.23052494023983905
32,0.0001,1e-05,0.2,0.3,0.4478063746962023,0.7115839578090866,0.6894504481101128,0.3605846402580147,0.6083807442664662,0.2553608721924204
32,0.0001,1e-05,0.3,0.3,0.45026994620574,0.7104403217029541,0.673395122617289,0.34759847386262555,0.6534470754754875,0.24980530517393382
32,0.0001,1e-05,0.4,0.3,0.44484658645990544,0.6955978178413874,0.6565383107654159,0.3394961988510713,0.6669319569432952,0.23740921469261309
32,0.0001,1e-05,0.5,0.3,0.44170181229565675,0.6627878447870652,0.6229815534220482,0.33341880676656477,0.7041024715734447,0.22693368182312046
32,0.0001,1e-05,0.6,0.3,0.4444626656418607,0.7001077661746615,0.6737640942517904,0.34277228012628846,0.6364192805169839,0.24212491436568015
32,0.0001,1e-05,0.7,0.3,0.429378730360442,0.6567682253983633,0.6037042402832942,0.3196271115543859,0.702056640868387,0.20579374322503266
64,0.001,0.01,0.2,0.3,0.48971409342964406,0.7442427030790527,0.7130209363953387,0.3920461171153761,0.6657738075351922,0.3109407968419789
64,0.001,0.01,0.3,0.3,0.4876282594927668,0.740016270161879,0.6909618319684803,0.3800144211955182,0.7025349915734488,0.3002916699262939
64,0.001,0.01,0.4,0.3,0.5023211121027609,0.7494788510587665,0.7230967910810945,0.4001219508768961,0.6838456040749915,0.3288312852603972
64,0.001,0.01,0.5,0.3,0.47792908216283364,0.7266769167230104,0.6695287508152056,0.36141346037165817,0.735891216501004,0.2803987103260558
